lead_id,created_date,channel,campaign,company_segment,industry,employee_count,lead_score,first_response_hours,mql_date,sql_date,opportunity_date,customer_date,expected_arr,status
L00076,2026-04-27,Paid Social,Campaign 0,Mid-Market,SaaS,150,28,51,,,,,0,Lead
L00077,2025-09-28,Paid Search,Campaign 1,SMB,SaaS,150,58,23,,,,,0,Lead
L00078,2025-02-21,Paid Social,Campaign 0,Enterprise,SaaS,150,56,22,,,,,0,Lead
L00079,2025-05-05,Paid Search,Campaign 1,Mid-Market,SaaS,150,93,26,2025-05-11,,,,0,MQL
L00080,2025-05-11,Paid Social,Campaign 0,SMB,SaaS,150,64,41,2025-05-21,,,,0,MQL
L00081,2025-07-23,Paid Search,Campaign 1,SMB,SaaS,150,45,30,2025-07-31,2025-08-10,,,0,SQL
L00082,2026-01-12,Organic Search,Campaign 2,Enterprise,SaaS,150,71,22,,,,,0,Lead
L00083,2026-04-17,Email Nurture,Campaign 5,Mid-Market,SaaS,150,55,36,2026-04-26,,,,0,MQL
L00084,2025-11-16,Organic Search,Campaign 2,Mid-Market,SaaS,150,84,23,2025-11-25,,,,0,MQL
L00085,2025-02-01,Paid Search,Campaign 1,Mid-Market,SaaS,150,54,13,,,,,0,Lead
L00086,2025-04-14,Paid Social,Campaign 0,Mid-Market,SaaS,150,44,37,,,,,0,Lead
L00087,2025-05-31,Partner,Campaign 4,Enterprise,SaaS,150,85,13,2025-06-10,,,,0,MQL
L00088,2025-08-04,Organic Search,Campaign 2,Mid-Market,SaaS,150,56,12,,,,,0,Lead
L00089,2025-07-13,Webinar,Campaign 3,Mid-Market,SaaS,150,61,20,2025-07-21,,,,0,MQL
L00090,2026-05-13,Partner,Campaign 4,SMB,SaaS,150,94,14,,,,,0,Lead
L00091,2025-06-02,Partner,Campaign 4,Mid-Market,SaaS,150,76,22,,,,,0,Lead
L00092,2025-01-15,Organic Search,Campaign 2,SMB,SaaS,150,25,15,2025-01-21,,,,0,MQL
L00093,2026-02-02,Email Nurture,Campaign 5,Enterprise,SaaS,150,80,30,2026-02-09,,,,0,MQL
L00094,2026-03-31,Paid Search,Campaign 1,Enterprise,SaaS,150,91,24,2026-04-05,2026-04-13,2026-04-24,,26200,Opportunity
L00095,2025-12-17,Paid Social,Campaign 0,SMB,SaaS,150,94,48,,,,,0,Lead
L00096,2025-07-24,Paid Search,Campaign 1,Mid-Market,SaaS,150,57,27,,,,,0,Lead
L00097,2025-12-11,Paid Social,Campaign 0,SMB,SaaS,150,98,31,2025-12-12,,,,0,MQL
L00098,2025-12-11,Paid Search,Campaign 1,SMB,SaaS,150,88,29,,,,,0,Lead
L00099,2025-10-30,Paid Search,Campaign 1,Mid-Market,SaaS,150,71,23,,,,,0,Lead
L00100,2026-05-19,Organic Search,Campaign 2,Enterprise,SaaS,150,90,21,,,,,0,Lead
L00101,2025-01-04,Paid Social,Campaign 0,SMB,SaaS,150,86,39,2025-01-13,,,,0,MQL
L00102,2026-01-21,Paid Social,Campaign 0,SMB,SaaS,150,26,44,,,,,0,Lead
L00103,2026-03-12,Email Nurture,Campaign 5,Mid-Market,SaaS,150,79,19,,,,,0,Lead
L00104,2025-01-05,Paid Social,Campaign 0,Mid-Market,SaaS,150,20,47,,,,,0,Lead
L00105,2025-05-09,Paid Social,Campaign 0,Mid-Market,SaaS,150,81,28,2025-05-16,,,,0,MQL
L00106,2026-04-16,Paid Social,Campaign 0,Mid-Market,SaaS,150,89,21,,,,,0,Lead
L00107,2025-09-09,Webinar,Campaign 3,Enterprise,SaaS,150,75,22,,,,,0,Lead
L00108,2025-08-26,Email Nurture,Campaign 5,Enterprise,SaaS,150,50,36,2025-09-04,2025-09-11,2025-10-10,,12000,Opportunity
L00109,2026-06-08,Organic Search,Campaign 2,Mid-Market,SaaS,150,96,22,,,,,0,Lead
L00110,2025-09-08,Organic Search,Campaign 2,SMB,SaaS,150,38,19,2025-09-14,2025-09-19,2025-10-08,,12400,Opportunity
L00111,2025-06-09,Organic Search,Campaign 2,Mid-Market,SaaS,150,36,16,2025-06-14,2025-06-16,2025-07-13,,28300,Opportunity
L00112,2025-10-31,Paid Search,Campaign 1,Mid-Market,SaaS,150,39,15,2025-11-04,2025-11-20,,,0,SQL
L00113,2026-04-08,Paid Social,Campaign 0,Enterprise,SaaS,150,32,34,2026-04-14,,,,0,MQL
L00114,2025-12-31,Partner,Campaign 4,Mid-Market,SaaS,150,22,14,2026-01-06,2026-01-10,,,0,SQL
L00115,2025-12-20,Paid Search,Campaign 1,SMB,SaaS,150,82,23,2025-12-24,,,,0,MQL
L00116,2026-01-11,Email Nurture,Campaign 5,Enterprise,SaaS,150,36,36,,,,,0,Lead
L00117,2025-07-01,Paid Social,Campaign 0,SMB,SaaS,150,86,50,2025-07-09,,,,0,MQL
L00118,2026-04-23,Paid Social,Campaign 0,Mid-Market,SaaS,150,85,52,2026-04-25,,,,0,MQL
L00119,2025-08-14,Partner,Campaign 4,SMB,SaaS,150,53,11,2025-08-20,2025-08-23,2025-09-02,,80900,Opportunity
L00120,2026-02-22,Paid Social,Campaign 0,Mid-Market,SaaS,150,56,37,,,,,0,Lead
L00121,2025-06-20,Organic Search,Campaign 2,Mid-Market,SaaS,150,65,15,2025-06-25,,,,0,MQL
L00122,2025-02-22,Webinar,Campaign 3,SMB,SaaS,150,22,21,,,,,0,Lead
L00123,2026-06-15,Webinar,Campaign 3,SMB,SaaS,150,28,34,,,,,0,Lead
L00124,2025-02-24,Paid Social,Campaign 0,Mid-Market,SaaS,150,83,33,,,,,0,Lead
L00125,2026-05-24,Paid Social,Campaign 0,SMB,SaaS,150,52,32,2026-05-26,2026-06-08,2026-06-26,,29800,Opportunity
L00126,2025-09-17,Paid Social,Campaign 0,Mid-Market,SaaS,150,95,29,2025-09-25,,,,0,MQL
L00127,2025-08-29,Paid Search,Campaign 1,Mid-Market,SaaS,150,43,13,2025-08-30,2025-09-14,2025-10-12,2025-11-26,15700,Customer
L00128,2025-12-06,Email Nurture,Campaign 5,SMB,SaaS,150,87,17,,,,,0,Lead
L00129,2026-06-20,Organic Search,Campaign 2,Mid-Market,SaaS,150,29,22,,,,,0,Lead
L00130,2025-10-26,Email Nurture,Campaign 5,Enterprise,SaaS,150,90,18,2025-11-04,,,,0,MQL
L00131,2025-01-27,Organic Search,Campaign 2,SMB,SaaS,150,82,18,,,,,0,Lead
L00132,2026-06-02,Partner,Campaign 4,Mid-Market,SaaS,150,62,16,,,,,0,Lead
L00133,2026-02-02,Email Nurture,Campaign 5,Enterprise,SaaS,150,60,32,,,,,0,Lead
L00134,2025-09-07,Paid Social,Campaign 0,Enterprise,SaaS,150,65,27,,,,,0,Lead
L00135,2025-04-18,Paid Social,Campaign 0,Mid-Market,SaaS,150,71,28,2025-04-26,,,,0,MQL
L00136,2026-01-16,Organic Search,Campaign 2,SMB,SaaS,150,77,12,2026-01-17,,,,0,MQL
L00137,2025-01-05,Paid Social,Campaign 0,SMB,SaaS,150,31,32,,,,,0,Lead
L00138,2025-07-28,Partner,Campaign 4,SMB,SaaS,150,35,14,2025-07-29,2025-08-02,2025-08-22,2025-10-05,28000,Customer
L00139,2025-06-10,Email Nurture,Campaign 5,Enterprise,SaaS,150,35,14,2025-06-16,,,,0,MQL
L00140,2026-06-15,Paid Search,Campaign 1,Mid-Market,SaaS,150,68,13,,,,,0,Lead
L00141,2026-06-20,Paid Social,Campaign 0,SMB,SaaS,150,97,30,2026-06-23,,,,0,MQL
L00142,2025-02-23,Paid Search,Campaign 1,Enterprise,SaaS,150,97,29,2025-03-02,2025-03-07,,,0,SQL
L00143,2026-06-30,Organic Search,Campaign 2,Enterprise,SaaS,150,31,14,,,,,0,Lead
L00144,2025-07-31,Paid Social,Campaign 0,Enterprise,SaaS,150,47,40,2025-08-10,,,,0,MQL
L00145,2025-08-11,Paid Social,Campaign 0,SMB,SaaS,150,35,56,,,,,0,Lead
L00146,2025-09-28,Paid Search,Campaign 1,SMB,SaaS,150,26,10,2025-10-04,,,,0,MQL
L00147,2025-06-26,Paid Social,Campaign 0,SMB,SaaS,150,29,23,2025-07-03,,,,0,MQL
L00148,2026-05-15,Webinar,Campaign 3,SMB,SaaS,150,56,28,2026-05-16,,,,0,MQL
L00149,2026-04-18,Paid Search,Campaign 1,Enterprise,SaaS,150,24,29,2026-04-26,,,,0,MQL
L00150,2025-06-24,Partner,Campaign 4,SMB,SaaS,150,38,12,,,,,0,Lead
L00151,2025-11-20,Paid Search,Campaign 1,Mid-Market,SaaS,150,37,28,,,,,0,Lead
L00152,2025-10-20,Paid Social,Campaign 0,Enterprise,SaaS,150,31,40,,,,,0,Lead
L00153,2025-03-24,Email Nurture,Campaign 5,SMB,SaaS,150,67,21,2025-03-25,,,,0,MQL
L00154,2025-05-03,Paid Search,Campaign 1,SMB,SaaS,150,89,28,,,,,0,Lead
L00155,2026-03-26,Paid Social,Campaign 0,Enterprise,SaaS,150,46,59,,,,,0,Lead
L00156,2026-03-27,Partner,Campaign 4,SMB,SaaS,150,29,20,2026-04-05,,,,0,MQL
L00157,2026-05-19,Paid Search,Campaign 1,SMB,SaaS,150,29,28,2026-05-26,,,,0,MQL
L00158,2026-06-29,Organic Search,Campaign 2,Enterprise,SaaS,150,71,20,2026-07-09,,,,0,MQL
L00159,2025-01-25,Paid Search,Campaign 1,Mid-Market,SaaS,150,48,25,2025-01-30,2025-02-03,2025-02-10,,36400,Opportunity
L00160,2025-02-25,Paid Search,Campaign 1,Mid-Market,SaaS,150,96,18,,,,,0,Lead
L00161,2025-12-16,Paid Search,Campaign 1,SMB,SaaS,150,76,18,,,,,0,Lead
L00162,2025-02-14,Paid Search,Campaign 1,Enterprise,SaaS,150,81,25,,,,,0,Lead
L00163,2025-08-03,Partner,Campaign 4,Enterprise,SaaS,150,37,9,2025-08-08,2025-08-09,2025-08-16,,30900,Opportunity
L00164,2025-06-30,Paid Search,Campaign 1,SMB,SaaS,150,45,16,2025-07-07,,,,0,MQL
L00165,2025-01-01,Organic Search,Campaign 2,Mid-Market,SaaS,150,47,10,2025-01-08,2025-01-18,2025-02-10,,32100,Opportunity
L00166,2025-01-13,Paid Social,Campaign 0,Enterprise,SaaS,150,42,53,,,,,0,Lead
L00167,2025-11-28,Paid Social,Campaign 0,SMB,SaaS,150,57,55,,,,,0,Lead
L00168,2026-06-29,Paid Social,Campaign 0,Mid-Market,SaaS,150,53,43,,,,,0,Lead
L00169,2025-07-22,Organic Search,Campaign 2,Enterprise,SaaS,150,73,13,2025-07-27,2025-07-30,,,0,SQL
L00170,2026-06-21,Organic Search,Campaign 2,SMB,SaaS,150,51,14,2026-06-30,2026-07-01,2026-07-20,2026-08-17,21000,Customer
L00171,2025-08-06,Partner,Campaign 4,Mid-Market,SaaS,150,49,18,2025-08-07,,,,0,MQL
L00172,2025-10-24,Organic Search,Campaign 2,Enterprise,SaaS,150,91,11,,,,,0,Lead
L00173,2026-03-02,Organic Search,Campaign 2,Enterprise,SaaS,150,50,24,2026-03-05,,,,0,MQL
L00174,2025-12-15,Paid Search,Campaign 1,SMB,SaaS,150,69,11,,,,,0,Lead
L00175,2026-05-15,Paid Search,Campaign 1,SMB,SaaS,150,22,25,2026-05-23,,,,0,MQL
L00176,2026-04-28,Paid Social,Campaign 0,SMB,SaaS,150,89,53,,,,,0,Lead
L00177,2026-01-09,Paid Social,Campaign 0,Enterprise,SaaS,150,69,50,,,,,0,Lead
L00178,2025-11-20,Organic Search,Campaign 2,Mid-Market,SaaS,150,67,20,,,,,0,Lead
L00179,2025-03-05,Paid Social,Campaign 0,Enterprise,SaaS,150,32,40,,,,,0,Lead
L00180,2025-07-20,Webinar,Campaign 3,SMB,SaaS,150,77,40,,,,,0,Lead
L00181,2025-01-03,Paid Search,Campaign 1,Enterprise,SaaS,150,63,20,2025-01-11,,,,0,MQL
L00182,2026-03-31,Webinar,Campaign 3,Mid-Market,SaaS,150,45,32,2026-04-10,2026-04-18,2026-04-25,,76600,Opportunity
L00183,2025-05-20,Organic Search,Campaign 2,Mid-Market,SaaS,150,82,11,,,,,0,Lead
L00184,2025-11-02,Webinar,Campaign 3,Mid-Market,SaaS,150,30,24,,,,,0,Lead
L00185,2025-01-21,Paid Search,Campaign 1,Enterprise,SaaS,150,77,24,,,,,0,Lead
L00186,2025-03-19,Paid Social,Campaign 0,Enterprise,SaaS,150,29,35,2025-03-24,,,,0,MQL
L00187,2026-03-03,Partner,Campaign 4,Enterprise,SaaS,150,57,17,,,,,0,Lead
L00188,2025-06-15,Paid Social,Campaign 0,SMB,SaaS,150,41,55,,,,,0,Lead
L00189,2026-01-31,Paid Search,Campaign 1,Mid-Market,SaaS,150,52,28,,,,,0,Lead
L00190,2026-06-29,Organic Search,Campaign 2,Mid-Market,SaaS,150,80,13,,,,,0,Lead
L00191,2025-05-23,Organic Search,Campaign 2,Mid-Market,SaaS,150,57,25,,,,,0,Lead
L00192,2026-03-11,Paid Social,Campaign 0,Enterprise,SaaS,150,29,58,2026-03-17,,,,0,MQL
L00193,2026-01-29,Webinar,Campaign 3,Enterprise,SaaS,150,46,37,,,,,0,Lead
L00194,2025-08-16,Organic Search,Campaign 2,SMB,SaaS,150,48,23,,,,,0,Lead
L00195,2025-09-04,Paid Social,Campaign 0,Mid-Market,SaaS,150,95,61,,,,,0,Lead
L00196,2025-09-19,Email Nurture,Campaign 5,SMB,SaaS,150,98,33,,,,,0,Lead
L00197,2025-04-28,Organic Search,Campaign 2,SMB,SaaS,150,51,25,,,,,0,Lead
L00198,2026-01-02,Partner,Campaign 4,SMB,SaaS,150,36,12,,,,,0,Lead
L00199,2026-02-22,Paid Search,Campaign 1,Enterprise,SaaS,150,47,25,2026-02-27,,,,0,MQL
L00200,2025-06-12,Partner,Campaign 4,Enterprise,SaaS,150,75,15,2025-06-15,,,,0,MQL
L00201,2025-07-08,Paid Search,Campaign 1,SMB,SaaS,150,96,11,2025-07-18,,,,0,MQL
L00202,2026-03-04,Paid Social,Campaign 0,SMB,SaaS,150,79,51,,,,,0,Lead
L00203,2026-01-28,Organic Search,Campaign 2,Enterprise,SaaS,150,34,11,,,,,0,Lead
L00204,2026-04-23,Partner,Campaign 4,Mid-Market,SaaS,150,74,8,2026-05-01,,,,0,MQL
L00205,2025-02-17,Paid Social,Campaign 0,SMB,SaaS,150,88,56,,,,,0,Lead
L00206,2025-02-03,Webinar,Campaign 3,Mid-Market,SaaS,150,36,26,2025-02-13,,,,0,MQL
L00207,2025-08-14,Paid Search,Campaign 1,Enterprise,SaaS,150,32,17,2025-08-19,,,,0,MQL
L00208,2025-06-29,Paid Social,Campaign 0,Mid-Market,SaaS,150,55,56,,,,,0,Lead
L00209,2025-02-17,Organic Search,Campaign 2,SMB,SaaS,150,67,20,,,,,0,Lead
L00210,2026-04-13,Paid Search,Campaign 1,Mid-Market,SaaS,150,41,17,2026-04-14,,,,0,MQL
L00211,2025-05-09,Paid Social,Campaign 0,Mid-Market,SaaS,150,98,34,2025-05-16,2025-05-21,2025-06-19,,81400,Opportunity
L00212,2025-11-22,Paid Social,Campaign 0,Enterprise,SaaS,150,83,30,2025-11-23,2025-11-25,,,0,SQL
L00213,2026-01-03,Paid Social,Campaign 0,SMB,SaaS,150,66,42,,,,,0,Lead
L00214,2025-01-31,Paid Search,Campaign 1,SMB,SaaS,150,61,26,2025-02-03,2025-02-11,,,0,SQL
L00215,2025-03-16,Paid Social,Campaign 0,Enterprise,SaaS,150,93,48,,,,,0,Lead
L00216,2025-01-23,Paid Social,Campaign 0,SMB,SaaS,150,40,44,,,,,0,Lead
L00217,2025-09-26,Organic Search,Campaign 2,Enterprise,SaaS,150,85,12,2025-09-27,2025-09-29,,,0,SQL
L00218,2026-05-21,Paid Social,Campaign 0,Mid-Market,SaaS,150,65,40,2026-05-27,,,,0,MQL
L00219,2025-12-21,Organic Search,Campaign 2,Enterprise,SaaS,150,22,11,,,,,0,Lead
L00220,2026-04-01,Paid Social,Campaign 0,SMB,SaaS,150,52,21,2026-04-10,,,,0,MQL
L00221,2025-01-18,Paid Social,Campaign 0,SMB,SaaS,150,66,60,2025-01-21,,,,0,MQL
L00222,2025-04-24,Organic Search,Campaign 2,SMB,SaaS,150,48,17,,,,,0,Lead
L00223,2025-08-10,Paid Social,Campaign 0,Mid-Market,SaaS,150,69,44,,,,,0,Lead
L00224,2026-01-01,Email Nurture,Campaign 5,SMB,SaaS,150,89,37,2026-01-03,,,,0,MQL
L00225,2026-05-19,Partner,Campaign 4,SMB,SaaS,150,46,18,2026-05-28,,,,0,MQL
L00226,2025-01-19,Paid Social,Campaign 0,Mid-Market,SaaS,150,20,26,2025-01-20,,,,0,MQL
L00227,2025-08-10,Organic Search,Campaign 2,SMB,SaaS,150,51,17,,,,,0,Lead
L00228,2025-10-27,Paid Social,Campaign 0,Mid-Market,SaaS,150,63,43,,,,,0,Lead
L00229,2025-06-27,Paid Social,Campaign 0,Enterprise,SaaS,150,47,44,2025-07-02,,,,0,MQL
L00230,2025-11-10,Paid Social,Campaign 0,Mid-Market,SaaS,150,27,35,,,,,0,Lead
L00231,2026-01-20,Partner,Campaign 4,Enterprise,SaaS,150,29,21,2026-01-25,2026-01-29,,,0,SQL
L00232,2025-07-07,Organic Search,Campaign 2,Mid-Market,SaaS,150,87,18,2025-07-08,,,,0,MQL
L00233,2025-02-09,Paid Social,Campaign 0,SMB,SaaS,150,24,56,,,,,0,Lead
L00234,2025-02-16,Paid Search,Campaign 1,Mid-Market,SaaS,150,42,24,2025-02-19,,,,0,MQL
L00235,2026-02-07,Webinar,Campaign 3,SMB,SaaS,150,49,18,2026-02-11,,,,0,MQL
L00236,2026-05-24,Paid Social,Campaign 0,Enterprise,SaaS,150,20,55,,,,,0,Lead
L00237,2026-05-01,Organic Search,Campaign 2,Enterprise,SaaS,150,89,11,,,,,0,Lead
L00238,2026-05-27,Paid Social,Campaign 0,Enterprise,SaaS,150,35,24,2026-05-30,2026-06-05,,,0,SQL
L00239,2025-07-13,Paid Social,Campaign 0,Enterprise,SaaS,150,92,34,,,,,0,Lead
L00240,2025-03-15,Paid Social,Campaign 0,SMB,SaaS,150,47,31,,,,,0,Lead
L00241,2025-03-06,Paid Search,Campaign 1,Enterprise,SaaS,150,48,16,2025-03-11,2025-03-18,,,0,SQL
L00242,2025-03-27,Partner,Campaign 4,SMB,SaaS,150,22,24,,,,,0,Lead
L00243,2025-08-25,Paid Social,Campaign 0,Enterprise,SaaS,150,93,45,,,,,0,Lead
L00244,2026-05-01,Paid Search,Campaign 1,Enterprise,SaaS,150,84,22,2026-05-07,,,,0,MQL
L00245,2026-03-05,Webinar,Campaign 3,Mid-Market,SaaS,150,79,40,,,,,0,Lead
L00246,2025-09-29,Webinar,Campaign 3,Mid-Market,SaaS,150,78,19,2025-10-04,2025-10-20,2025-11-08,,10600,Opportunity
L00247,2025-08-27,Organic Search,Campaign 2,Enterprise,SaaS,150,39,13,2025-09-06,,,,0,MQL
L00248,2025-12-08,Organic Search,Campaign 2,Mid-Market,SaaS,150,73,17,2025-12-11,2025-12-23,,,0,SQL
L00249,2025-08-17,Partner,Campaign 4,Enterprise,SaaS,150,94,16,,,,,0,Lead
L00250,2025-04-13,Paid Social,Campaign 0,SMB,SaaS,150,47,22,2025-04-14,,,,0,MQL
